*Material,Country,Stage,Value
Cobalt,Congo,Reserves,6000000
Cobalt,Cuba,Reserves,500000
Cobalt,Indonesia,Reserves,640000
Cobalt,Madagascar,Reserves,100000
Cobalt,PapuaNewGuinea,Reserves,62000
Cobalt,Philippines,Reserves,260000
Cobalt,Russia,Reserves,250000
Cobalt,Turkey,Reserves,91000
Cobalt,Othercountries,Reserves,800000
Copper,UnitedStates,Production,1100000
Copper,Australia,Production,800000
Copper,Canada,Production,450000
Copper,Chile,Production,5300000
Copper,China,Production,1800000
Copper,Congo,Production,3300000
Copper,India,Production,30000
Copper,Indonesia,Production,1100000
Copper,Kazakhstan,Production,740000
Copper,Mexico,Production,700000
Copper,Peru,Production,2600000
Copper,Poland,Production,410000
Copper,Russia,Production,930000
Copper,Zambia,Production,680000
Copper,Othercountries,Production,2700000
Copper,UnitedStates,Reserves,47000000
Copper,Australia,Reserves,100000000
Copper,Canada,Reserves,8300000
Copper,Chile,Reserves,190000000
Copper,China,Reserves,41000000
Copper,Congo,Reserves,80000
Copper,India,Reserves,2200000
Copper,Indonesia,Reserves,21000000
Copper,Kazakhstan,Reserves,20000000
Copper,Mexico,Reserves,53000000
Copper,Peru,Reserves,100000000
Copper,Poland,Reserves,34000000
Copper,Russia,Reserves,80000000
Copper,Zambia,Reserves,21000000
Copper,Othercountries,Reserves,180000000
RareEarths,UnitedStates,Production,45000
RareEarths,Australia,Production,13000
RareEarths,Brazil,Production,20
RareEarths,Burma,Production,31000
RareEarths,China,Production,270000
RareEarths,India,Production,2900
RareEarths,Madagascar,Production,2000
RareEarths,Malaysia,Production,130
RareEarths,Nigeria,Production,13000
RareEarths,Russia,Production,2500
RareEarths,Thailand,Production,13000
RareEarths,Vietnam,Production,300
RareEarths,Othercountries,Production,1100
RareEarths,UnitedStates,Reserves,1900000
RareEarths,Australia,Reserves,5700000
RareEarths,Brazil,Reserves,21000000
RareEarths,Canada,Reserves,830000
RareEarths,China,Reserves,44000000
RareEarths,Greenland,Reserves,1500000
RareEarths,India,Reserves,6900000
RareEarths,Russia,Reserves,3800000
RareEarths,SouthAfrica,Reserves,860000
RareEarths,Tanzania,Reserves,890000
RareEarths,Thailand,Reserves,4500
RareEarths,Vietnam,Reserves,3500000
Gallium,China,Production,750
Gallium,Japan,Production,3
Gallium,RepublicofKorea,Production,3
Gallium,Russia,Production,6
Gallium,China,ProductionCapacity,1000
Gallium,Japan,ProductionCapacity,10
Gallium,RepublicofKorea,ProductionCapacity,16
Gallium,Russia,ProductionCapacity,10
Gallium,Othercountries,ProductionCapacity,88
Indium,Belgium,Production,10
Indium,Canada,Production,35
Indium,China,Production,760
Indium,France,Production,21
Indium,Japan,Production,60
Indium,RepublicofKorea,Production,180
Indium,Russia,Production,5
Indium,Uzbekistan,Production,1
Indium,Belgium,ProductionCapacity,50
Indium,Canada,ProductionCapacity,70
Indium,China,ProductionCapacity,1100
Indium,France,ProductionCapacity,70
Indium,Japan,ProductionCapacity,70
Indium,RepublicofKorea,ProductionCapacity,310
Indium,Peru,ProductionCapacity,50
Indium,Russia,ProductionCapacity,15
Indium,Uzbekistan,ProductionCapacity,1
Lead,UnitedStates,Production,300000
Lead,Australia,Production,430000
Lead,Bolivia,Production,60000
Lead,China,Production,1900000
Lead,India,Production,220000
Lead,Iran,Production,60000
Lead,Mexico,Production,180000
Lead,Peru,Production,270000
Lead,Russia,Production,220000
Lead,Sweden,Production,70000
Lead,Tajikistan,Production,40000
Lead,Turkey,Production,70000
Lead,Othercountries,Production,520000
Lead,UnitedStates,Reserves,4600000
Lead,Australia,Reserves,35000000
Lead,Bolivia,Reserves,1600000
Lead,China,Reserves,22000000
Lead,India,Reserves,1900000
Lead,Iran,Reserves,2000000
Lead,Mexico,Reserves,5600000
Lead,Peru,Reserves,5000000
Lead,Russia,Reserves,8900000
Lead,Sweden,Reserves,1700000
Lead,Turkey,Reserves,1600000
Lead,Othercountries,Reserves,5900000
Lithium,UnitedStates,Production,0
Lithium,Argentina,Production,18000
Lithium,Australia,Production,88000
Lithium,Brazil,Production,10000
Lithium,Canada,Production,4300
Lithium,Chile,Production,49000
Lithium,China,Production,41000
Lithium,Namibia,Production,2700
Lithium,Portugal,Production,380
Lithium,Zimbabwe,Production,22000
Lithium,UnitedStates,Reserves,1800000
Lithium,Argentina,Reserves,4000000
Lithium,Australia,Reserves,7000000
Lithium,Brazil,Reserves,390000
Lithium,Canada,Reserves,1200000
Lithium,Chile,Reserves,9300000
Lithium,China,Reserves,3000000
Lithium,Namibia,Reserves,14000
Lithium,Portugal,Reserves,60000
Lithium,Zimbabwe,Reserves,480000
Lithium,Othercountries,Reserves,2800000
Molybdenum,UnitedStates,Production,33000
Molybdenum,Armenia,Production,8000
Molybdenum,Australia,Production,1000
Molybdenum,Canada,Production,1200
Molybdenum,Chile,Production,38000
Molybdenum,China,Production,110000
Molybdenum,Iran,Production,3000
Molybdenum,Kazakhstan,Production,3900
Molybdenum,NorthKorea,Production,700
Molybdenum,RepublicofKorea,Production,300
Molybdenum,Mexico,Production,17000
Molybdenum,Mongolia,Production,3100
Molybdenum,Peru,Production,41000
Molybdenum,Russia,Production,1700
Molybdenum,Uzbekistan,Production,1700
Molybdenum,UnitedStates,Reserves,3500000
Molybdenum,Argentina,Reserves,100000
Molybdenum,Armenia,Reserves,150000
Molybdenum,Australia,Reserves,690000
Molybdenum,Canada,Reserves,64000
Molybdenum,Chile,Reserves,1400000
Molybdenum,China,Reserves,5900000
Molybdenum,Iran,Reserves,43000
Molybdenum,Kazakhstan,Reserves,7000
Molybdenum,RepublicofKorea,Reserves,8000
Molybdenum,Mexico,Reserves,130000
Molybdenum,Mongolia,Reserves,10000
Molybdenum,Peru,Reserves,1900000
Molybdenum,Russia,Reserves,1100000
Molybdenum,Uzbekistan,Reserves,21000
Nickel,UnitedStates,Production,8000
Nickel,Australia,Production,110000
Nickel,Brazil,Production,77000
Nickel,Canada,Production,190000
Nickel,China,Production,120000
Nickel,Indonesia,Production,2200000
Nickel,NewCaledonia,Production,110000
Nickel,Philippines,Production,330000
Nickel,Russia,Production,210000
Nickel,Othercountries,Production,300000
Nickel,UnitedStates,Reserves,310000
Nickel,Australia,Reserves,24000000
Nickel,Brazil,Reserves,16000000
Nickel,Canada,Reserves,2200000
Nickel,China,Reserves,4400000
Nickel,Indonesia,Reserves,55000000
Nickel,NewCaledonia,Reserves,7100000
Nickel,Philippines,Reserves,4800000
Nickel,Russia,Reserves,8300000
Nickel,Othercountries,Reserves,0
Niobium,Brazil,Production,100000
Niobium,Canada,Production,7100
Niobium,Congo,Production,700
Niobium,Russia,Production,350
Niobium,Rwanda,Production,200
Niobium,Othercountries,Production,120
Niobium,UnitedStates,Reserves,210000
Niobium,Brazil,Reserves,16000000
Niobium,Canada,Reserves,1600000
Selenium,UnitedStates,Production,0
Selenium,Belgium,Production,200
Selenium,Canada,Production,130
Selenium,China,Production,1800
Selenium,Finland,Production,170
Selenium,Germany,Production,50
Selenium,India,Production,14
Selenium,Japan,Production,710
Selenium,Peru,Production,50
Selenium,Poland,Production,74
Selenium,Russia,Production,340
Selenium,Serbia,Production,60
Selenium,SouthAfrica,Production,9
Selenium,Turkey,Production,50
Selenium,Uzbekistan,Production,2
Selenium,UnitedStates,Reserves,10000
Selenium,Canada,Reserves,6500
Selenium,China,Reserves,5000
Selenium,Finland,Reserves,300
Selenium,India,Reserves,500
Selenium,Peru,Reserves,16000
Selenium,Poland,Reserves,3000
Selenium,Russia,Reserves,26000
Selenium,Sweden,Reserves,500
Selenium,Othercountries,Reserves,24000
Silicon,UnitedStates,Production,0
Silicon,Bhutan,Production,80000
Silicon,Brazil,Production,200000
Silicon,Canada,Production,20000
Silicon,China,Production,3500000
Silicon,France,Production,20000
Silicon,Iceland,Production,70000
Silicon,India,Production,60000
Silicon,Kazakhstan,Production,130000
Silicon,Malaysia,Production,130000
Silicon,Norway,Production,180000
Silicon,Poland,Production,30000
Silicon,Russia,Production,470000
Silicon,SouthAfrica,Production,40000
Silicon,Spain,Production,40000
Silicon,Othercountries,Production,130000
Silver,UnitedStates,Production,1100
Silver,Argentina,Production,800
Silver,Australia,Production,1000
Silver,Bolivia,Production,1300
Silver,Canada,Production,300
Silver,Chile,Production,1200
Silver,China,Production,3300
Silver,India,Production,800
Silver,Kazakhstan,Production,1000
Silver,Mexico,Production,6300
Silver,Peru,Production,3100
Silver,Poland,Production,1300
Silver,Russia,Production,1200
Silver,Sweden,Production,400
Silver,Othercountries,Production,2100
Silver,UnitedStates,Reserves,23000
Silver,Argentina,Reserves,6500
Silver,Australia,Reserves,94000
Silver,Bolivia,Reserves,22000
Silver,Canada,Reserves,4900
Silver,Chile,Reserves,26000
Silver,China,Reserves,70000
Silver,India,Reserves,8000
Silver,Mexico,Reserves,37000
Silver,Peru,Reserves,140000
Silver,Poland,Reserves,61000
Silver,Russia,Reserves,92000
Silver,Othercountries,Reserves,57000
Tantalum,Australia,Production,52
Tantalum,Bolivia,Production,2
Tantalum,Brazil,Production,210
Tantalum,Burundi,Production,2
Tantalum,China,Production,76
Tantalum,Congo,Production,880
Tantalum,Ethiopia,Production,40
Tantalum,Mozambique,Production,55
Tantalum,Nigeria,Production,390
Tantalum,Russia,Production,29
Tantalum,Rwanda,Production,350
Tantalum,Australia,Reserves,110000
Tantalum,Brazil,Reserves,40000
Tantalum,China,Reserves,240000
Tellurium,UnitedStates,Production,0
Tellurium,Bulgaria,Production,1
Tellurium,Canada,Production,27
Tellurium,China,Production,750
Tellurium,Japan,Production,70
Tellurium,Russia,Production,70
Tellurium,SouthAfrica,Production,4
Tellurium,Sweden,Production,46
Tellurium,Uzbekistan,Production,13
Tellurium,UnitedStates,Reserves,3800
Tellurium,Canada,Reserves,900
Tellurium,China,Reserves,3100
Tellurium,Russia,Reserves,5800
Tellurium,SouthAfrica,Reserves,800
Tellurium,Sweden,Reserves,740
Tellurium,Othercountries,Reserves,20000
Tin,Australia,Production,9900
Tin,Bolivia,Production,21000
Tin,Brazil,Production,29000
Tin,Burma,Production,34000
Tin,China,Production,69000
Tin,Congo,Production,25000
Tin,Indonesia,Production,50000
Tin,Laos,Production,1500
Tin,Malaysia,Production,3000
Tin,Nigeria,Production,7000
Tin,Peru,Production,31000
Tin,Russia,Production,3000
Tin,Rwanda,Production,3600
Tin,Vietnam,Production,6700
Tin,Othercountries,Production,1800
Tin,Australia,Reserves,620000
Tin,Bolivia,Reserves,400000
Tin,Brazil,Reserves,420000
Tin,Burma,Reserves,700000
Tin,China,Reserves,1000000
Tin,Congo,Reserves,120000
Tin,Peru,Reserves,130000
Tin,Russia,Reserves,460000
Tin,Vietnam,Reserves,23000
Tin,Othercountries,Reserves,310000
Tungsten,Australia,Production,1000
Tungsten,Austia,Production,800
Tungsten,Bolivia,Production,1600
Tungsten,China,Production,67000
Tungsten,NorthKorea,Production,1700
Tungsten,Portugal,Production,500
Tungsten,Russia,Production,2000
Tungsten,Rwanda,Production,1200
Tungsten,Spain,Production,700
Tungsten,Vietnam,Production,3400
Tungsten,Othercountries,Production,1500
Tungsten,Australia,Reserves,570000
Tungsten,Austia,Reserves,10000
Tungsten,China,Reserves,2400000
Tungsten,NorthKorea,Reserves,29000
Tungsten,Portugal,Reserves,3400
Tungsten,Russia,Reserves,400000
Tungsten,Spain,Reserves,66000
Tungsten,Vietnam,Reserves,140000
Tungsten,Othercountries,Reserves,950000
Vanadium,Brazil,Production,5000
Vanadium,China,Production,70000
Vanadium,Russia,Production,21000
Vanadium,SouthAfrica,Production,8000
Vanadium,UnitedStates,Reserves,45000
Vanadium,Australia,Reserves,8500000
Vanadium,Brazil,Reserves,120000
Vanadium,China,Reserves,4100000
Vanadium,Russia,Reserves,5000000
Vanadium,SouthAfrica,Reserves,430000
Yttrium,ChinaandBurma,Production,0
MagnesiumMetal,Brazil,Production,20000
MagnesiumMetal,China,Production,950000
MagnesiumMetal,Iran,Production,5000
MagnesiumMetal,Israel,Production,20000
MagnesiumMetal,Kazakhstan,Production,20000
MagnesiumMetal,Russia,Production,15000
MagnesiumMetal,Turkey,Production,15000
MagnesiumMetal,UnitedStates,ProductionCapacity,64000
MagnesiumMetal,Brazil,ProductionCapacity,22000
MagnesiumMetal,China,ProductionCapacity,1800000
MagnesiumMetal,Iran,ProductionCapacity,6000
MagnesiumMetal,Israel,ProductionCapacity,34000
MagnesiumMetal,Kazakhstan,ProductionCapacity,30000
MagnesiumMetal,Russia,ProductionCapacity,81000
MagnesiumMetal,Turkey,ProductionCapacity,15000
MagnesiumMetal,Othercountries,ProductionCapacity,52000
MagnesiumCompounds,UnitedStates,Production,0
MagnesiumCompounds,Australia,Production,490000
MagnesiumCompounds,Austria,Production,760000
MagnesiumCompounds,Brazil,Production,1800000
MagnesiumCompounds,Canada,Production,150000
MagnesiumCompounds,China,Production,13000000
MagnesiumCompounds,Greece,Production,390000
MagnesiumCompounds,India,Production,160000
MagnesiumCompounds,Iran,Production,210000
MagnesiumCompounds,Russia,Production,2500000
MagnesiumCompounds,Slovakia,Production,380000
MagnesiumCompounds,Spain,Production,670000
MagnesiumCompounds,Turkey,Production,1300000
MagnesiumCompounds,Othercountries,Production,370000
MagnesiumCompounds,UnitedStates,Reserves,35000000
MagnesiumCompounds,Australia,Reserves,280000000
MagnesiumCompounds,Austria,Reserves,49000000
MagnesiumCompounds,Brazil,Reserves,200000000
MagnesiumCompounds,China,Reserves,680000000
MagnesiumCompounds,Greece,Reserves,280000000
MagnesiumCompounds,India,Reserves,66000000
MagnesiumCompounds,Iran,Reserves,10000000
MagnesiumCompounds,Russia,Reserves,2300000000
MagnesiumCompounds,Slovakia,Reserves,1200000000
MagnesiumCompounds,Spain,Reserves,35000000
MagnesiumCompounds,Turkey,Reserves,110000000
MagnesiumCompounds,Othercountries,Reserves,2500000000
Manganese,Australia,Production,2800000
Manganese,Brazil,Production,590000
Manganese,China,Production,770000
Manganese,Cotedivoire,Production,360000
Manganese,Gabon,Production,4600000
Manganese,Ghana,Production,820000
Manganese,India,Production,800000
Manganese,Malaysia,Production,410000
Manganese,SouthAfrica,Production,7400000
Manganese,Othercountries,Production,1300000
Manganese,Australia,Reserves,500000000
Manganese,Brazil,Reserves,270000000
Manganese,China,Reserves,280000000
Manganese,Gabon,Reserves,61000000
Manganese,Ghana,Reserves,13000000
Manganese,India,Reserves,34000000
Manganese,SouthAfrica,Reserves,560000000
Manganese,Othercountries,Reserves,0
TitaniumandTitaniumDioxide,UnitedStates,ProductionCapacity,1360000
TitaniumandTitaniumDioxide,Australia,ProductionCapacity,260000
TitaniumandTitaniumDioxide,Canada,ProductionCapacity,108000
TitaniumandTitaniumDioxide,China,ProductionCapacity,5500000
TitaniumandTitaniumDioxide,Germany,ProductionCapacity,339000
TitaniumandTitaniumDioxide,India,ProductionCapacity,91000
TitaniumandTitaniumDioxide,Japan,ProductionCapacity,322000
TitaniumandTitaniumDioxide,Mexico,ProductionCapacity,350000
TitaniumandTitaniumDioxide,Russia,ProductionCapacity,55000
TitaniumandTitaniumDioxide,SaudiaArabia,ProductionCapacity,200000
TitaniumandTitaniumDioxide,Ukraine,ProductionCapacity,122000
TitaniumandTitaniumDioxide,UnitedKingdom,ProductionCapacity,315000
TitaniumandTitaniumDioxide,Othercountries,ProductionCapacity,820000
Zinc,UnitedStates,Production,750000
Zinc,Australia,Production,1100000
Zinc,Bolivia,Production,510000
Zinc,China,Production,4000000
Zinc,India,Production,860000
Zinc,Kazakhstan,Production,370000
Zinc,Mexico,Production,700000
Zinc,Peru,Production,1300000
Zinc,Russia,Production,310000
Zinc,SouthAfrica,Production,120000
Zinc,Sweden,Production,240000
Zinc,Othercountries,Production,1700000
Zinc,UnitedStates,Reserves,9200000
Zinc,Australia,Reserves,64000000
Zinc,China,Reserves,46000000
Zinc,India,Reserves,9800000
Zinc,Kazakhstan,Reserves,7600000
Zinc,Mexico,Reserves,14000000
Zinc,Peru,Reserves,20000000
Zinc,Russia,Reserves,29000000
Zinc,SouthAfrica,Reserves,5900000
Zinc,Sweden,Reserves,3900000
Zinc,Othercountries,Reserves,25000000
Zirconiummineralconcentrates,UnitedStates,Production,100000
Zirconiummineralconcentrates,Australia,Production,500000
Zirconiummineralconcentrates,China,Production,100000
Zirconiummineralconcentrates,Indonesia,Production,95000
Zirconiummineralconcentrates,Kenya,Production,20000
Zirconiummineralconcentrates,Madagascar,Production,30000
Zirconiummineralconcentrates,Mozambique,Production,160000
Zirconiummineralconcentrates,Senegal,Production,60000
Zirconiummineralconcentrates,SierraLeone,Production,20000
Zirconiummineralconcentrates,SouthAfrica,Production,300000
Zirconiummineralconcentrates,Othercountries,Production,110000
Zirconiummineralconcentrates,UnitedStates,Reserves,500000
Zirconiummineralconcentrates,Australia,Reserves,55000000
Zirconiummineralconcentrates,China,Reserves,72000
Zirconiummineralconcentrates,Kenya,Reserves,5000
Zirconiummineralconcentrates,Madagascar,Reserves,2100000
Zirconiummineralconcentrates,Mozambique,Reserves,1500000
Zirconiummineralconcentrates,Senegal,Reserves,2600000
Zirconiummineralconcentrates,SierraLeone,Reserves,290000
Zirconiummineralconcentrates,SouthAfrica,Reserves,5300000
Zirconiummineralconcentrates,Othercountries,Reserves,5700000
Alumina,UnitedStates,Production,720000
Alumina,Australia,Production,18000000
Alumina,Brazil,Production,11000000
Alumina,Canada,Production,1500000
Alumina,China,Production,84000000
Alumina,Germany,Production,960000
Alumina,Greece,Production,860000
Alumina,Guinea,Production,300000
Alumina,India,Production,7600000
Alumina,Indonesia,Production,1300000
Alumina,Ireland,Production,1600000
Alumina,Jamaica,Production,1500000
Alumina,Kazakhstan,Production,1400000
Alumina,Russia,Production,2900000
Alumina,SaudiArabia,Production,1800000
Alumina,Spain,Production,820000
Alumina,Turkey,Production,320000
Alumina,UnitedArabEmirates,Production,2400000
Alumina,Vietnam,Production,1500000
Alumina,Othercountries,Production,1500000
Bauxite,UnitedStates,Production,0
Bauxite,Australia,Production,100000000
Bauxite,Brazil,Production,33000000
Bauxite,China,Production,93000000
Bauxite,Greece,Production,1200000
Bauxite,Guinea,Production,130000000
Bauxite,India,Production,25000000
Bauxite,Indonesia,Production,32000000
Bauxite,Jamaica,Production,6100000
Bauxite,Kazakhstan,Production,4900000
Bauxite,Russia,Production,6300000
Bauxite,SaudiArabia,Production,5800000
Bauxite,Turkey,Production,3200000
Bauxite,Vietnam,Production,4200000
Bauxite,Othercountries,Production,5700000
Bauxite,UnitedStates,Reserves,20000000
Bauxite,Australia,Reserves,3500000000
Bauxite,Brazil,Reserves,2700000000
Bauxite,China,Reserves,680000000
Bauxite,Guinea,Reserves,7400000000
Bauxite,India,Reserves,650000000
Bauxite,Indonesia,Reserves,2800000000
Bauxite,Jamaica,Reserves,2000000000
Bauxite,Kazakhstan,Reserves,280000000
Bauxite,Russia,Reserves,480000000
Bauxite,SaudiArabia,Reserves,180000000
Bauxite,Turkey,Reserves,69000000
Bauxite,Vietnam,Reserves,3100000000
Bauxite,Othercountries,Reserves,5300000000
